"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 10:41:31 GMT 2021","Mon Oct 11 10:41:40 GMT 2021","9100","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Mon Oct 11 10:37:30 GMT 2021","Mon Oct 11 10:37:46 GMT 2021","16605","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"passed","Mon Oct 11 10:38:13 GMT 2021","Mon Oct 11 10:38:35 GMT 2021","22355","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","12-words seed phrase",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Mon Oct 11 10:39:44 GMT 2021","Mon Oct 11 10:39:48 GMT 2021","3727","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Mon Oct 11 10:40:56 GMT 2021","Mon Oct 11 10:41:13 GMT 2021","17342","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Navigate with back button in header",""
"passed","Mon Oct 11 10:44:02 GMT 2021","Mon Oct 11 10:44:16 GMT 2021","14257","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Previous run cleanup",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Mon Oct 11 10:41:53 GMT 2021","Mon Oct 11 10:42:01 GMT 2021","8399","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Mon Oct 11 10:39:35 GMT 2021","Mon Oct 11 10:39:44 GMT 2021","9701","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Choose language on sign up >","","","Change language",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Delegate stake",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Withdraw stake",""
"passed","Mon Oct 11 10:40:18 GMT 2021","Mon Oct 11 10:40:29 GMT 2021","11189","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Mon Oct 11 10:38:59 GMT 2021","Mon Oct 11 10:39:35 GMT 2021","35934","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Mon Oct 11 10:40:29 GMT 2021","Mon Oct 11 10:40:45 GMT 2021","15692","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Enable/Disable testnet",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Mon Oct 11 10:42:48 GMT 2021","Mon Oct 11 10:42:56 GMT 2021","7917","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Mon Oct 11 10:42:56 GMT 2021","Mon Oct 11 10:43:16 GMT 2021","20302","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Mon Oct 11 10:38:51 GMT 2021","Mon Oct 11 10:38:59 GMT 2021","8237","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Can't log in with incorrect password",""
"passed","Mon Oct 11 10:40:09 GMT 2021","Mon Oct 11 10:40:18 GMT 2021","9090","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Copy private key",""
"passed","Mon Oct 11 10:38:35 GMT 2021","Mon Oct 11 10:38:51 GMT 2021","15370","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Mon Oct 11 10:41:40 GMT 2021","Mon Oct 11 10:41:53 GMT 2021","12886","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions >","","","Transactions list is displayed",""
"failed","Mon Oct 11 10:44:25 GMT 2021","Mon Oct 11 10:44:56 GMT 2021","31660","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Create staking account",""
"passed","Mon Oct 11 10:37:54 GMT 2021","Mon Oct 11 10:38:13 GMT 2021","19240","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","24-words seed phrase",""
"passed","Mon Oct 11 10:44:16 GMT 2021","Mon Oct 11 10:44:25 GMT 2021","8857","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
"passed","Mon Oct 11 10:41:21 GMT 2021","Mon Oct 11 10:41:31 GMT 2021","9776","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Mon Oct 11 10:42:39 GMT 2021","Mon Oct 11 10:42:48 GMT 2021","9160","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"skipped","Mon Oct 11 10:37:29 GMT 2021","Mon Oct 11 10:37:29 GMT 2021","0","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Validators list",""
"passed","Mon Oct 11 10:37:46 GMT 2021","Mon Oct 11 10:37:54 GMT 2021","7380","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Restore with >","","","custom seed phrase",""
"passed","Mon Oct 11 10:43:16 GMT 2021","Mon Oct 11 10:44:02 GMT 2021","45648","Chrome Stable","src/tests/unstable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Mon Oct 11 10:41:13 GMT 2021","Mon Oct 11 10:41:21 GMT 2021","7457","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Mon Oct 11 10:42:01 GMT 2021","Mon Oct 11 10:42:39 GMT 2021","37403","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Mon Oct 11 10:40:45 GMT 2021","Mon Oct 11 10:40:56 GMT 2021","11497","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
